Timedate,Max,Mean,Min
10.4.16:00,1742.0,1466.3636363636363,1028.0
10.4.17:00,1676.0,1421.3636363636363,1018.0
10.4.18:00,1681.0,1410.5454545454545,1035.0
10.4.19:00,1654.0,1408.3636363636363,1076.0
10.4.20:00,1583.0,1363.7272727272727,1069.0
10.4.21:00,1504.0,1312.5454545454545,1039.0
10.4.22:00,1428.0,1266.1818181818182,1016.0
10.4.23:00,1390.0,1235.8181818181818,997.0
10.5.00:00,1253.0,1112.5454545454545,910.0
10.5.01:00,1216.0,1097.5454545454545,900.0
10.5.02:00,1243.0,1105.2727272727273,914.0
10.5.03:00,1260.0,1115.2727272727273,930.0
10.5.04:00,1359.0,1159.7272727272727,889.0
10.5.05:00,1593.0,1312.4545454545455,923.0
10.5.06:00,1832.0,1477.4545454545455,959.0
10.5.07:00,1956.0,1549.090909090909,975.0
10.5.08:00,1941.0,1561.8181818181818,1011.0
10.5.09:00,2000.0,1595.0,1016.0
10.5.10:00,2002.0,1603.8181818181818,1031.0
10.5.11:00,1957.0,1581.2727272727273,1011.0
10.5.12:00,1987.0,1583.8181818181818,1016.0
10.5.13:00,1950.0,1553.6363636363637,1000.0
10.5.14:00,1900.0,1523.8181818181818,1015.0
10.5.15:00,1754.0,1435.2727272727273,1012.0
10.5.16:00,1651.0,1375.3636363636363,1013.0
10.5.17:00,1600.0,1332.6363636363637,1013.0
10.5.18:00,1548.0,1300.4545454545455,1021.0
10.5.19:00,1480.0,1269.5454545454545,1020.0
10.5.20:00,1466.0,1250.909090909091,1030.0
10.5.21:00,1405.0,1211.1818181818182,1005.0
10.5.22:00,1319.0,1165.0,993.0
10.5.23:00,1281.0,1130.1818181818182,970.0
10.6.00:00,1289.0,1101.4545454545455,972.0
10.6.01:00,1261.0,1086.7272727272727,989.0
10.6.02:00,1259.0,1085.1818181818182,992.0
10.6.03:00,1265.0,1078.090909090909,968.0
10.6.04:00,1340.0,1139.1818181818182,973.0
10.6.05:00,1577.0,1314.5454545454545,1017.0
10.6.06:00,1830.0,1506.4545454545455,1062.0
10.6.07:00,1934.0,1586.2727272727273,1093.0
10.6.08:00,1939.0,1611.5454545454545,1120.0
10.6.09:00,1951.0,1654.0,1170.0
10.6.10:00,1946.0,1656.2727272727273,1209.0
10.6.11:00,1888.0,1636.2727272727273,1225.0
10.6.12:00,1909.0,1634.1818181818182,1215.0
10.6.13:00,1870.0,1604.909090909091,1181.0
10.6.14:00,1833.0,1567.6363636363637,1159.0
10.6.15:00,1682.0,1469.1818181818182,1141.0
10.6.16:00,1589.0,1402.2727272727273,1108.0
10.6.17:00,1493.0,1334.909090909091,1085.0
10.6.18:00,1431.0,1292.1818181818182,1062.0
10.6.19:00,1378.0,1249.3636363636363,1038.0
10.6.20:00,1343.0,1212.8181818181818,1026.0
10.6.21:00,1311.0,1193.5454545454545,1029.0
10.6.22:00,1263.0,1153.3636363636363,1016.0
10.6.23:00,1244.0,1122.090909090909,974.0
10.7.00:00,1185.0,1037.4545454545455,940.0
10.7.01:00,1163.0,1021.5454545454545,927.0
10.7.02:00,1162.0,1016.8181818181819,906.0
10.7.03:00,1170.0,1012.0,913.0
10.7.04:00,1233.0,1056.090909090909,905.0
10.7.05:00,1424.0,1188.5454545454545,945.0
10.7.06:00,1652.0,1332.5454545454545,986.0
10.7.07:00,1765.0,1407.0,1027.0
10.7.08:00,1773.0,1433.4545454545455,1076.0
10.7.09:00,1798.0,1469.909090909091,1110.0
10.7.10:00,1814.0,1477.1818181818182,1129.0
10.7.11:00,1804.0,1461.5454545454545,1140.0
10.7.12:00,1821.0,1465.5454545454545,1143.0
10.7.13:00,1806.0,1442.8181818181818,1109.0
10.7.14:00,1759.0,1414.0,1101.0
10.7.15:00,1673.0,1352.8181818181818,1077.0
10.7.16:00,1606.0,1303.2727272727273,1067.0
10.7.17:00,1496.0,1247.0,1015.0
10.7.18:00,1452.0,1210.7272727272727,1032.0
10.7.19:00,1419.0,1170.6363636363637,1001.0
10.7.20:00,1335.0,1133.6363636363637,967.0
10.7.21:00,1314.0,1119.909090909091,948.0
10.7.22:00,1226.0,1078.909090909091,908.0
10.7.23:00,1170.0,1046.8181818181818,889.0
10.8.00:00,1188.0,1056.090909090909,911.0
10.8.01:00,1161.0,1041.090909090909,893.0
10.8.02:00,1168.0,1038.3636363636363,898.0
