 ;Timmätt förbr;Timmätt förbr;Timmätt förbr;Timmätt förbr;Ospec.;Ospec.;Ospec.;Ospec.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Avkopplingsb.;Ospec. ;Ospec. ;Ospec. ;Ospec. ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vattenkraft ;Vindkraft;Vindkraft;Vindkraft;Vindkraft;Kärnkraft;Värmekraft;Värmekraft;Värmekraft;Värmekraft;Gast./diesel;Gast./diesel;Gast./diesel;Gast./diesel;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Schablonleverans;Solkraft;Solkraft;Solkraft;Solkraft
26.8.2017 0:00;-782;-949;-4 636;-1 044;-;-;-;-;-6.75;-2.77;-109.73;-2.35;0.01;0.13;7.51;7.30;1159;3153;736;34;301.2;1368;515;270;3792;5.2;43.7;295;63;-;-;-;-;-152;-291;-1 783;-549;-15.5;-26.8;-161.7;-49.5;0.000;0.012;0.018;0.022
26.8.2017 1:00;-781;-948;-4 535;-1 030;-;-;-;-;-6.85;-2.56;-106.60;-1.88;0.00;0.18;7.59;7.83;1031;2748;717;34;335.2;1396;494;221;3792;5.0;42.8;293;65;-;-;-;-;-149;-285;-1 736;-531;-15.2;-26.3;-157.5;-48.0;0.000;0.012;0.019;0.018
26.8.2017 2:00;-772;-951;-4 542;-1 019;-;-;-;-;-6.76;-1.91;-104.87;-1.39;0.01;0.19;7.40;7.32;1025;2587;718;34;364.9;1444;531;198;3793;4.7;42.2;295;63;-;-;-;-;-148;-283;-1 717;-520;-15.1;-26.1;-155.7;-46.9;0.000;0.008;0.017;0.021
26.8.2017 3:00;-786;-954;-4 535;-1 020;-;-;-;-;-6.75;-1.56;-108.32;-1.38;0.00;0.13;7.59;7.59;1037;2662;722;34;366.0;1431;574;179;3793;4.7;45.4;294;64;-;-;-;-;-145;-284;-1 722;-523;-14.7;-26.2;-155.9;-47.2;0.000;0.007;0.016;0.022
26.8.2017 4:00;-779;-944;-4 536;-1 043;-;-;-;-;-6.83;-1.73;-111.20;-1.58;0.00;0.21;7.59;7.69;1095;2926;695;34;367.7;1439;560;159;3794;4.7;52.7;293;75;-;-;-;-;-141;-277;-1 689;-521;-14.3;-25.6;-153.0;-47.0;0.002;0.013;0.026;0.021
26.8.2017 5:00;-786;-946;-4 641;-1 073;-;-;-;-;-6.93;-2.59;-112.83;-1.44;0.00;0.21;7.71;7.66;1200;3512;697;33;385.1;1378;497;130;3795;4.6;54.5;290;78;-;-;-;-;-146;-281;-1 688;-510;-14.8;-25.9;-153.0;-46.0;0.008;0.055;0.452;0.114
26.8.2017 6:00;-806;-955;-4 794;-1 127;-;-;-;-;-6.89;-2.63;-112.67;-1.94;0.00;0.21;7.73;7.66;1694;4010;727;34;386.3;1333;339;97;3795;4.3;49.7;287;78;-;-;-;-;-155;-295;-1 840;-572;-15.7;-27.1;-166.7;-51.7;0.019;0.299;2.650;0.774
26.8.2017 7:00;-820;-959;-4 943;-1 196;-;-;-;-;-6.28;-3.92;-110.62;-1.82;0.00;0.21;7.68;7.84;2793;4567;914;34;380.3;1312;214;47;3795;4.7;46.8;288;79;-;-;-;-;-169;-320;-2 122;-674;-17.0;-29.4;-191.9;-60.7;0.043;0.792;8.079;1.991
26.8.2017 8:00;-831;-970;-5 091;-1 223;-;-;-;-;-5.92;-4.30;-109.40;-1.78;0.00;0.19;7.60;7.77;3005;4838;983;57;374.8;1378;234;30;3795;4.4;48.5;291;77;-;-;-;-;-177;-341;-2 342;-749;-18.0;-31.3;-211.7;-67.4;0.065;1.253;15.800;3.580
26.8.2017 9:00;-825;-981;-5 201;-1 266;-;-;-;-;-5.77;-4.47;-108.00;-1.61;0.00;0.17;7.56;7.54;2998;4753;1085;87;386.8;1216;193;48;3794;4.2;49.9;285;77;-;-;-;-;-181;-347;-2 417;-775;-18.3;-31.8;-218.3;-69.6;0.102;1.371;26.172;5.138
26.8.2017 10:00;-822;-984;-5 209;-1 276;-;-;-;-;-4.90;-4.05;-108.99;-1.88;0.00;0.15;6.90;7.75;2976;4659;961;94;384.0;1033;178;66;3794;4.1;51.3;274;77;-;-;-;-;-181;-345;-2 398;-776;-18.4;-31.5;-216.7;-69.8;0.149;1.622;34.330;6.937
26.8.2017 11:00;-829;-983;-5 223;-1 259;-;-;-;-;-5.34;-3.74;-107.06;-2.06;0.01;0.16;6.83;7.54;2912;4504;922;94;375.4;870;192;105;3793;4.7;51.7;270;77;-;-;-;-;-177;-337;-2 353;-767;-17.9;-30.7;-212.6;-69.0;0.138;1.992;39.680;8.415
26.8.2017 12:00;-826;-983;-5 167;-1 243;-;-;-;-;-5.29;-3.65;-107.55;-1.81;0.00;0.14;6.96;7.78;2466;4326;932;81;342.8;859;215;139;3792;5.0;50.7;267;76;-;-;-;-;-175;-326;-2 273;-744;-17.7;-29.8;-205.4;-67.0;0.109;2.157;41.312;8.882
26.8.2017 13:00;-821;-981;-5 161;-1 227;-;-;-;-;-5.49;-2.73;-89.30;-1.52;0.00;0.16;6.92;7.76;2485;4353;920;74;298.5;794;188;129;3791;4.6;50.3;274;77;-;-;-;-;-172;-320;-2 192;-728;-17.5;-29.2;-198.2;-65.5;0.148;2.145;38.682;9.877
26.8.2017 14:00;-818;-982;-5 118;-1 212;-;-;-;-;-5.45;-2.66;-44.38;-1.88;0.01;0.16;6.38;7.86;2507;4456;930;73;298.6;713;162;108;3790;4.6;48.1;279;78;-;-;-;-;-178;-323;-2 154;-720;-18.0;-29.5;-194.7;-64.7;0.106;1.962;33.061;8.862
26.8.2017 15:00;-825;-971;-5 041;-1 187;-;-;-;-;-5.50;-3.15;-42.95;-2.26;0.00;0.15;6.73;7.46;2602;4555;946;73;294.1;577;139;99;3787;5.0;49.2;279;78;-;-;-;-;-187;-341;-2 197;-737;-18.9;-31.1;-198.5;-66.3;0.069;1.457;22.697;5.597
26.8.2017 16:00;-815;-978;-4 995;-1 154;-;-;-;-;-5.33;-3.09;-43.45;-2.26;0.00;0.12;6.81;7.72;2842;4816;953;88;277.3;436;117;81;3787;4.9;50.5;270;83;-;-;-;-;-194;-352;-2 318;-782;-19.5;-32.1;-209.4;-70.2;0.044;0.834;12.288;2.632
26.8.2017 17:00;-803;-966;-4 825;-1 135;-;-;-;-;-5.46;-3.05;-42.83;-2.22;0.00;0.14;6.80;7.82;3038;5119;951;89;283.4;362;95;66;3787;4.7;50.7;259;81;-;-;-;-;-192;-350;-2 391;-794;-19.5;-32.0;-215.9;-71.4;0.020;0.312;3.762;0.760
26.8.2017 18:00;-806;-969;-4 731;-1 118;-;-;-;-;-5.49;-2.85;-42.35;-1.96;0.00;0.13;6.94;7.79;3085;5093;957;89;285.0;335;96;62;3785;4.6;47.9;256;80;-;-;-;-;-190;-349;-2 410;-783;-19.3;-31.9;-217.6;-70.4;0.006;0.073;0.437;0.130
26.8.2017 19:00;-792;-965;-4 751;-1 111;-;-;-;-;-5.45;-3.47;-49.77;-2.05;0.01;0.11;6.87;7.56;3090;5178;960;88;258.0;411;102;72;3784;4.9;50.5;249;80;-;-;-;-;-192;-359;-2 500;-803;-19.5;-32.7;-225.8;-72.2;0.000;0.042;0.032;0.022
26.8.2017 20:00;-800;-960;-4 709;-1 064;-;-;-;-;-4.50;-3.32;-60.31;-1.59;0.00;0.13;7.03;7.62;3082;5026;924;66;247.2;391;127;92;3787;5.1;50.8;253;80;-;-;-;-;-192;-370;-2 477;-791;-19.5;-33.7;-223.9;-71.1;0.000;0.039;0.021;0.019
26.8.2017 21:00;-789;-947;-4 587;-1 023;-;-;-;-;-4.88;-3.69;-57.49;-1.57;0.00;0.12;6.96;7.28;2841;4612;825;50;226.7;346;128;92;3786;5.1;49.9;255;79;-;-;-;-;-182;-353;-2 282;-722;-18.5;-32.2;-206.3;-64.9;0.000;0.038;0.020;0.023
26.8.2017 22:00;-783;-936;-4 519;-1 024;-;-;-;-;-4.93;-2.28;-67.28;-2.23;0.20;0.12;6.83;7.66;2178;3952;769;33;218.1;327;118;86;3787;5.4;51.5;260;77;-;-;-;-;-168;-330;-2 063;-648;-17.1;-30.1;-186.5;-58.3;0.000;0.032;0.020;0.022
26.8.2017 23:00;-772;-918;-4 461;-1 001;-;-;-;-;-4.87;-2.14;-99.90;-2.22;0.35;0.12;6.99;6.75;1405;3150;695;33;163.6;297;90;89;3787;5.5;50.2;258;77;-;-;-;-;-159;-310;-1 884;-585;-16.1;-28.3;-170.3;-52.7;0.000;0.029;0.017;0.023
27.8.2017 0:00;-762;-911;-4 426;-985;-;-;-;-;-4.91;-2.10;-109.64;-2.12;0.68;0.14;6.79;6.50;1260;2714;694;33;118.4;267;69;61;3788;5.2;52.7;256;78;-;-;-;-;-152;-297;-1 773;-546;-15.5;-27.2;-160.3;-49.2;0.000;0.030;0.019;0.019
27.8.2017 1:00;-756;-913;-4 365;-978;-;-;-;-;-4.90;-1.24;-108.78;-1.73;0.95;0.12;6.58;6.44;1072;2663;664;33;115.4;271;63;31;3789;5.3;50.7;255;80;-;-;-;-;-152;-293;-1 723;-523;-15.5;-26.9;-155.9;-47.2;0.000;0.024;0.017;0.018
27.8.2017 2:00;-757;-930;-4 392;-974;-;-;-;-;-5.02;-1.31;-107.01;-1.57;0.97;0.16;6.62;6.52;1065;2536;658;33;131.2;205;72;16;3790;5.2;52.3;254;72;-;-;-;-;-152;-293;-1 708;-514;-15.5;-26.9;-154.5;-46.3;0.000;0.016;0.016;0.022
27.8.2017 3:00;-756;-940;-4 404;-981;-;-;-;-;-5.09;-1.78;-112.27;-1.70;0.45;0.12;6.46;6.46;1064;2531;665;33;147.5;148;88;11;3790;5.4;53.5;256;77;-;-;-;-;-150;-296;-1 711;-511;-15.2;-27.2;-154.7;-46.0;0.000;0.014;0.018;0.020
27.8.2017 4:00;-750;-952;-4 443;-985;-;-;-;-;-4.99;-3.38;-107.77;-1.68;0.00;0.15;6.52;6.52;1038;2501;644;34;153.1;117;125;9;3792;5.6;54.9;258;76;-;-;-;-;-146;-290;-1 685;-512;-14.8;-26.7;-152.3;-46.1;0.000;0.020;0.020;0.021
27.8.2017 5:00;-762;-967;-4 508;-1 025;-;-;-;-;-4.24;-0.47;-108.97;-1.43;0.00;0.19;6.93;6.78;1012;2717;648;35;139.2;88;144;12;3792;5.1;54.4;260;78;-;-;-;-;-148;-292;-1 652;-491;-15.0;-26.9;-149.4;-44.4;0.010;0.054;0.403;0.066
27.8.2017 6:00;-768;-980;-4 551;-1 055;-;-;-;-;-0.69;-0.23;-111.86;-1.38;0.00;0.19;6.91;6.44;1184;3293;692;35;83.1;60;147;6;3793;4.3;53.2;255;93;-;-;-;-;-150;-299;-1 762;-534;-15.3;-27.6;-159.5;-48.2;0.062;0.365;2.780;0.719
27.8.2017 7:00;-786;-989;-4 714;-1 087;-;-;-;-;-0.67;-2.35;-109.10;-1.73;0.00;0.18;7.00;6.91;1494;3827;685;35;35.8;38;109;42;3793;4.0;51.3;255;76;-;-;-;-;-157;-314;-1 998;-632;-15.9;-28.9;-180.9;-56.9;0.159;1.110;8.040;1.953
27.8.2017 8:00;-797;-988;-4 837;-1 148;-;-;-;-;-0.68;-3.26;-107.18;-1.60;0.00;0.18;6.78;6.70;1973;4362;700;77;29.3;24;69;63;3793;3.5;52.6;255;75;-;-;-;-;-162;-329;-2 238;-725;-16.4;-30.2;-202.3;-65.1;0.277;2.124;15.582;2.385
27.8.2017 9:00;-796;-998;-4 980;-1 182;-;-;-;-;-0.65;-3.94;-97.98;-1.44;0.00;0.17;6.71;6.71;2201;4710;714;92;23.9;22;71;58;3791;3.2;50.3;252;75;-;-;-;-;-162;-332;-2 360;-780;-16.4;-30.4;-213.3;-70.0;0.361;3.146;24.487;3.837
27.8.2017 10:00;-799;-1 007;-4 981;-1 205;-;-;-;-;-0.67;-5.54;-95.99;-1.85;0.00;0.15;6.85;6.42;2104;4677;714;91;23.7;22;78;64;3791;2.9;52.7;251;74;-;-;-;-;-161;-326;-2 400;-800;-16.3;-29.7;-217.2;-71.9;0.365;3.792;30.346;9.667
27.8.2017 11:00;-797;-999;-5 050;-1 206;-;-;-;-;-0.62;-4.41;-43.63;-1.67;0.00;0.16;7.00;6.74;2351;4681;710;89;21.7;22;103;59;3789;2.6;50.8;253;76;-;-;-;-;-158;-316;-2 396;-798;-16.1;-28.8;-217.1;-71.8;0.306;3.947;30.804;11.413
27.8.2017 12:00;-805;-999;-5 088;-1 182;-;-;-;-;-0.56;-3.68;-48.13;-1.48;0.00;0.14;6.95;6.76;2684;4372;704;88;18.0;24;134;115;3788;2.4;50.3;253;71;-;-;-;-;-154;-307;-2 344;-775;-15.7;-27.8;-212.4;-69.8;0.212;3.945;30.827;12.844
27.8.2017 13:00;-799;-1 007;-5 123;-1 172;-;-;-;-;-0.53;-3.60;-47.01;-1.71;0.00;0.19;7.05;6.46;2576;4218;688;86;15.0;23;145;151;3782;2.2;52.5;247;72;-;-;-;-;-154;-301;-2 285;-755;-15.6;-27.3;-207.0;-67.9;0.210;3.835;29.003;12.014
27.8.2017 14:00;-797;-992;-5 087;-1 170;-;-;-;-;-0.51;-2.86;-47.83;-1.11;0.00;0.15;6.95;6.76;2593;4229;679;63;11.5;27;141;150;3778;2.4;48.3;244;73;-;-;-;-;-157;-300;-2 255;-747;-16.0;-27.1;-204.3;-67.2;0.184;3.272;26.577;10.966
27.8.2017 15:00;-792;-994;-5 082;-1 160;-;-;-;-;-0.49;-3.11;-51.95;-1.49;0.00;0.14;6.66;6.77;2644;4345;687;52;7.7;32;136;193;3776;2.4;44.6;238;73;-;-;-;-;-166;-323;-2 304;-764;-16.8;-29.2;-208.5;-68.7;0.165;2.264;20.152;8.962
27.8.2017 16:00;-783;-987;-5 032;-1 142;-;-;-;-;-0.49;-3.30;-52.18;-1.42;0.00;0.15;6.71;6.75;2691;4486;688;47;2.5;42;101;237;3776;2.2;51.3;241;75;-;-;-;-;-171;-337;-2 457;-810;-17.2;-30.5;-221.9;-72.8;0.094;1.281;12.037;5.843
27.8.2017 17:00;-775;-980;-4 988;-1 130;-;-;-;-;-0.49;-3.36;-53.74;-1.46;0.00;0.09;7.22;6.75;2696;4745;703;49;0.6;60;75;295;3777;2.3;54.6;245;75;-;-;-;-;-172;-340;-2 573;-835;-17.4;-30.7;-232.1;-75.1;0.033;0.522;4.118;2.152
27.8.2017 18:00;-777;-975;-4 957;-1 128;-;-;-;-;-0.60;-4.22;-56.23;-1.47;0.00;0.05;7.78;6.69;2798;5103;833;52;1.0;115;73;268;3779;3.0;53.3;252;77;-;-;-;-;-178;-349;-2 653;-842;-18.1;-31.5;-239.2;-75.9;0.011;0.090;0.579;0.252
27.8.2017 19:00;-784;-991;-4 978;-1 169;-;-;-;-;-0.64;-2.85;-59.93;-1.72;0.01;0.03;7.31;6.68;2897;5270;977;52;6.3;259;120;195;3781;3.9;52.8;256;79;-;-;-;-;-189;-367;-2 759;-873;-19.1;-33.2;-248.7;-78.6;0.000;0.039;0.044;0.031
27.8.2017 20:00;-793;-988;-4 925;-1 135;-;-;-;-;-0.71;-2.77;-60.89;-1.56;0.00;0.02;7.20;6.35;2869;5133;941;51;21.4;418;186;165;3783;4.1;54.7;258;77;-;-;-;-;-192;-377;-2 696;-846;-19.4;-34.1;-243.2;-76.1;0.000;0.037;0.020;0.027
27.8.2017 21:00;-784;-986;-4 834;-1 125;-;-;-;-;-0.84;-2.87;-54.86;-1.24;0.00;0.03;7.21;6.65;2861;4641;743;46;53.0;529;242;173;3783;3.9;55.3;257;78;-;-;-;-;-176;-344;-2 359;-731;-17.9;-31.2;-213.0;-65.8;0.000;0.036;0.020;0.021
27.8.2017 22:00;-786;-985;-4 726;-1 071;-;-;-;-;-1.01;-3.02;-57.41;-1.65;0.01;0.03;7.13;6.65;2652;3895;675;32;88.0;588;285;157;3781;4.3;57.2;259;77;-;-;-;-;-158;-307;-2 033;-625;-16.1;-27.9;-183.8;-56.3;0.000;0.033;0.020;0.020
27.8.2017 23:00;-765;-967;-4 660;-1 066;-;-;-;-;-1.14;-2.19;-85.99;-1.95;0.61;0.01;7.27;6.65;1699;3398;627;26;95.7;610;307;129;3783;4.4;49.8;259;78;-;-;-;-;-150;-286;-1 856;-566;-15.3;-26.0;-167.9;-51.1;0.000;0.030;0.018;0.020
28.8.2017 0:00;-763;-973;-4 627;-1 091;-;-;-;-;-1.21;-2.05;-108.33;-1.66;0.75;0.04;7.35;6.65;1541;3161;614;27;97.9;609;334;102;3785;4.8;41.8;257;79;-;-;-;-;-146;-278;-1 786;-536;-14.9;-25.3;-161.6;-48.5;0.000;0.025;0.018;0.020
28.8.2017 1:00;-765;-970;-4 687;-1 086;-;-;-;-;-1.22;-1.85;-119.14;-1.85;0.91;0.04;7.33;6.34;1589;3101;609;26;108.2;530;329;90;3787;4.8;43.1;252;77;-;-;-;-;-145;-279;-1 786;-532;-14.8;-25.5;-161.4;-48.2;0.000;0.022;0.019;0.023
28.8.2017 2:00;-769;-976;-4 789;-1 083;-;-;-;-;-1.35;-2.39;-116.65;-1.55;1.16;0.05;7.50;9.64;1560;3060;604;26;103.1;441;362;75;3787;5.0;52.6;245;77;-;-;-;-;-149;-283;-1 800;-532;-15.0;-25.8;-162.5;-48.2;0.000;0.019;0.017;0.019
28.8.2017 3:00;-770;-996;-4 867;-1 133;-;-;-;-;-1.36;-2.31;-106.65;-1.53;0.21;0.06;7.52;14.75;1669;3096;603;26;86.2;375;382;58;3785;5.2;60.7;248;76;-;-;-;-;-147;-288;-1 843;-540;-14.8;-26.3;-166.3;-49.0;0.000;0.017;0.017;0.018
28.8.2017 4:00;-785;-1 012;-5 136;-1 219;-;-;-;-;-1.55;-2.50;-93.82;-1.52;0.01;0.08;7.64;19.62;1977;3687;648;26;77.0;313;424;56;3782;5.4;63.6;244;77;-;-;-;-;-149;-291;-1 934;-575;-15.0;-26.5;-174.3;-52.1;0.000;0.021;0.021;0.023
28.8.2017 5:00;-827;-1 094;-5 854;-1 447;-;-;-;-;-1.70;-2.70;-84.89;-1.50;0.00;0.09;7.95;23.85;2587;4963;1051;51;80.4;303;463;65;3783;5.2;59.4;241;76;-;-;-;-;-159;-318;-2 170;-637;-16.1;-29.0;-195.1;-57.7;0.009;0.065;0.462;0.108
28.8.2017 6:00;-871;-1 170;-6 532;-1 711;-;-;-;-;-4.04;-2.89;-57.03;-1.13;0.00;0.06;7.81;24.14;3549;5602;1535;98;83.1;287;421;58;3783;4.6;53.2;236;74;-;-;-;-;-163;-333;-2 323;-700;-16.4;-30.5;-209.0;-63.3;0.047;0.401;3.952;1.035
28.8.2017 7:00;-891;-1 203;-6 766;-1 829;-;-;-;-;-4.99;-2.88;-24.88;-1.36;0.00;0.02;7.25;24.16;3655;5683;1563;115;55.6;240;298;20;3784;4.3;53.0;240;75;-;-;-;-;-157;-322;-2 251;-708;-15.9;-29.6;-203.4;-64.1;0.128;1.091;12.226;3.919
28.8.2017 8:00;-888;-1 234;-6 760;-1 854;-;-;-;-;-4.55;-2.60;-22.39;-1.62;0.00;0.01;7.11;22.08;3658;5578;1489;120;40.7;207;209;6;3783;3.2;55.7;243;74;-;-;-;-;-151;-311;-2 189;-709;-15.3;-28.6;-198.6;-64.0;0.259;2.198;23.419;7.656
28.8.2017 9:00;-889;-1 231;-6 889;-1 902;-;-;-;-;-4.46;-4.60;-23.33;-1.56;0.01;0.02;11.52;16.96;3664;5595;1363;119;55.7;236;276;7;3783;2.5;56.2;251;74;-;-;-;-;-144;-299;-2 146;-707;-14.6;-27.5;-195.0;-63.9;0.370;3.062;32.975;10.968
28.8.2017 10:00;-881;-1 232;-6 893;-1 898;-;-;-;-;-4.42;-5.39;-25.01;-1.51;0.00;0.01;16.96;10.96;3711;5585;1297;118;88.6;306;387;9;3784;1.8;54.4;250;73;-;-;-;-;-142;-290;-2 120;-706;-14.5;-26.6;-193.0;-63.9;0.447;3.725;39.628;13.880
28.8.2017 11:00;-889;-1 237;-6 875;-1 859;-;-;-;-;-4.35;-5.94;-24.36;-1.48;0.01;0.02;17.53;6.81;3615;5505;1261;118;109.2;411;497;21;3780;1.6;54.2;245;73;-;-;-;-;-138;-282;-2 101;-697;-13.9;-25.9;-191.5;-63.1;0.478;4.197;42.151;15.532
28.8.2017 12:00;-886;-1 192;-6 888;-1 878;-;-;-;-;-4.36;-6.17;-22.86;-1.76;0.01;0.03;15.43;6.71;3517;5413;1251;116;120.8;495;531;33;3778;1.1;44.1;239;72;-;-;-;-;-132;-272;-2 033;-675;-13.3;-24.9;-185.4;-61.0;0.470;4.082;40.964;15.407
28.8.2017 13:00;-877;-1 208;-6 893;-1 848;-;-;-;-;-0.48;-5.85;-22.47;-1.85;0.00;0.04;16.89;6.78;3514;5336;1161;114;122.3;605;620;57;3774;0.7;37.3;239;70;-;-;-;-;-131;-269;-2 003;-666;-13.3;-24.7;-182.7;-60.2;0.419;3.089;37.391;14.665
28.8.2017 14:00;-869;-1 190;-6 814;-1 814;-;-;-;-;-0.40;-4.89;-24.86;-1.73;0.01;0.04;10.20;6.51;3300;5330;1145;114;137.1;713;698;100;3771;0.8;37.3;238;71;-;-;-;-;-136;-280;-2 030;-678;-13.8;-25.7;-185.1;-61.3;0.339;1.908;29.983;11.771
28.8.2017 15:00;-849;-1 138;-6 485;-1 676;-;-;-;-;-0.38;-4.56;-28.44;-1.53;0.00;0.09;6.50;6.38;3126;5364;1174;114;157.5;754;733;129;3771;1.2;47.3;237;71;-;-;-;-;-151;-313;-2 176;-728;-15.3;-28.7;-198.0;-65.7;0.243;1.050;19.325;8.788
28.8.2017 16:00;-838;-1 119;-6 243;-1 587;-;-;-;-;-0.38;-4.52;-33.33;-1.60;0.00;0.09;6.82;6.37;3029;5360;1244;113;186.5;897;702;145;3771;1.0;50.7;239;70;-;-;-;-;-158;-331;-2 406;-792;-16.1;-30.2;-218.4;-71.3;0.112;0.567;9.313;4.854
28.8.2017 17:00;-811;-1 084;-6 023;-1 508;-;-;-;-;-0.40;-4.84;-27.34;-1.41;0.00;0.08;6.76;6.70;3093;5417;1279;110;231.0;976;646;139;3772;1.1;50.8;241;70;-;-;-;-;-158;-328;-2 500;-804;-16.1;-30.0;-226.5;-72.4;0.022;0.187;2.691;1.911
28.8.2017 18:00;-806;-1 072;-5 889;-1 453;-;-;-;-;-0.45;-5.16;-27.31;-1.63;0.00;0.10;6.77;6.74;3040;5295;1277;75;285.3;1041;668;163;3774;1.6;51.9;242;71;-;-;-;-;-162;-329;-2 571;-807;-16.4;-30.0;-232.6;-72.6;0.005;0.076;0.362;0.227
28.8.2017 19:00;-810;-1 072;-5 797;-1 425;-;-;-;-;-0.44;-4.85;-27.54;-1.59;0.01;0.05;7.14;6.49;3025;4971;1181;64;311.0;1228;760;233;3776;2.3;51.2;242;70;-;-;-;-;-170;-342;-2 687;-862;-17.2;-31.0;-242.9;-77.7;0.000;0.036;0.036;0.022
28.8.2017 20:00;-804;-1 053;-5 538;-1 387;-;-;-;-;-0.44;-4.77;-24.47;-1.76;0.00;0.05;6.95;6.65;2978;4491;942;59;308.8;1176;872;260;3778;2.0;50.8;243;71;-;-;-;-;-171;-342;-2 558;-838;-17.4;-31.1;-231.3;-75.4;0.000;0.029;0.024;0.021
28.8.2017 21:00;-772;-1 038;-5 265;-1 333;-;-;-;-;-0.44;-5.09;-23.95;-1.78;0.01;0.04;6.94;6.65;2495;4041;727;57;331.0;1159;954;258;3779;2.5;50.9;235;72;-;-;-;-;-155;-308;-2 206;-727;-15.8;-28.1;-199.7;-65.4;0.000;0.023;0.025;0.025
28.8.2017 22:00;-767;-1 029;-5 044;-1 259;-;-;-;-;-0.41;-5.19;-25.21;-1.38;0.01;0.07;6.89;6.70;1816;3707;673;50;360.6;1229;983;244;3780;2.2;49.4;236;73;-;-;-;-;-136;-266;-1 840;-616;-13.9;-24.3;-167.1;-55.5;0.000;0.018;0.023;0.020
28.8.2017 23:00;-751;-1 012;-4 951;-1 199;-;-;-;-;-0.40;-5.45;-23.34;-1.51;0.01;0.05;6.92;6.37;1194;3227;665;50;330.2;1176;1083;271;3782;1.8;48.5;232;76;-;-;-;-;-125;-243;-1 640;-554;-12.8;-22.3;-149.1;-50.0;0.000;0.014;0.020;0.021
29.8.2017 0:00;-729;-1 002;-4 859;-1 176;-;-;-;-;-0.41;-5.19;-23.08;-1.81;0.02;0.09;6.97;6.67;1052;2984;658;41;321.0;1092;1150;304;3782;1.8;50.2;230;75;-;-;-;-;-121;-232;-1 549;-528;-12.4;-21.3;-141.0;-47.8;0.000;0.014;0.020;0.022
29.8.2017 1:00;-724;-990;-4 736;-1 146;-;-;-;-;-0.50;-4.70;-22.21;-2.09;0.00;0.12;7.10;6.35;1050;2928;656;37;326.3;1039;1154;322;3780;1.7;50.9;230;75;-;-;-;-;-117;-229;-1 517;-518;-12.1;-21.0;-138.1;-46.9;0.000;0.016;0.022;0.024
29.8.2017 2:00;-725;-989;-4 680;-1 176;-;-;-;-;-0.57;-4.73;-23.17;-1.72;0.02;0.12;6.95;6.65;1059;2934;654;36;310.2;943;1138;307;3783;1.6;49.8;233;76;-;-;-;-;-118;-228;-1 503;-516;-12.1;-20.9;-136.8;-46.6;0.000;0.018;0.022;0.030
29.8.2017 3:00;-730;-993;-4 720;-1 199;-;-;-;-;-0.56;-4.87;-26.71;-2.68;0.01;0.14;7.09;9.65;1320;2958;658;36;315.8;933;1147;304;3783;1.9;49.4;237;76;-;-;-;-;-118;-230;-1 514;-524;-12.0;-21.1;-137.8;-47.3;0.000;0.013;0.021;0.018
29.8.2017 4:00;-753;-1 023;-4 958;-1 258;-;-;-;-;-0.54;-4.95;-25.92;-2.25;0.00;0.16;7.05;14.85;1740;3390;676;40;294.6;975;1171;319;3784;2.5;48.0;237;76;-;-;-;-;-118;-234;-1 597;-555;-11.9;-21.5;-145.3;-50.1;0.000;0.016;0.022;0.024
29.8.2017 5:00;-796;-1 093;-5 502;-1 425;-;-;-;-;-0.53;-5.12;-23.80;-2.51;0.00;0.15;7.18;19.40;2198;4505;765;54;238.8;1070;1168;323;3784;3.1;51.3;241;72;-;-;-;-;-130;-259;-1 824;-612;-13.1;-23.8;-165.5;-55.2;0.001;0.028;0.140;0.106
29.8.2017 6:00;-822;-1 163;-6 100;-1 640;-;-;-;-;-0.50;-5.20;-23.43;-1.91;0.00;0.07;7.19;23.81;3144;4958;843;99;240.4;1021;1159;305;3783;2.8;58.0;237;71;-;-;-;-;-139;-284;-2 046;-675;-13.9;-26.0;-185.2;-60.9;0.010;0.068;1.503;1.027
29.8.2017 7:00;-822;-1 182;-6 376;-1 734;-;-;-;-;-1.78;-5.79;-20.76;-1.66;0.00;0.05;6.99;24.74;3357;5080;827;120;223.1;876;1163;258;3780;2.9;56.9;237;75;-;-;-;-;-142;-288;-2 058;-684;-14.3;-26.4;-187.0;-61.8;0.024;0.285;5.386;3.709
29.8.2017 8:00;-830;-1 189;-6 456;-1 765;-;-;-;-;-2.34;-4.62;-19.14;-2.41;0.00;0.30;6.97;24.80;3372;4983;835;120;216.9;794;1177;221;3777;2.9;46.5;242;78;-;-;-;-;-143;-290;-2 057;-686;-14.4;-26.6;-187.4;-62.0;0.039;0.323;11.921;8.194
29.8.2017 9:00;-849;-1 121;-6 464;-1 819;-;-;-;-;-2.37;-4.07;-24.77;-2.09;0.00;1.65;6.20;21.57;3381;5020;847;120;216.8;775;1193;233;3780;2.9;45.6;236;81;-;-;-;-;-144;-291;-2 051;-684;-14.5;-26.7;-187.2;-61.9;0.050;0.378;20.022;12.015
